variable,description,sector,confidence,rationale,industry,subsector,subtype,subsubtype,subsubsubtype
Final Energy|Residential and Commercial|Residential|Other,"Final Energy|Residential and Commercial|Residential|Other represents other within the broader context of final energy > residential and commercial > residential > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: and, commercial, energy, energy demand, energy sector, energy use, final, final energy, other, residential, residential and commercial",Buildings,0.6,Energy use for residential purposes.,Residential,Residential Energy Use,,,
Final Energy|Transportation|Gases|Bioenergy,"Final Energy|Transportation|Gases|Bioenergy represents bioenergy within the broader context of final energy > transportation > gases > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, gases, mobility, transport, transportation, vehicle demand",Transportation,0.7,Biofuel transportation by sea.,Shipping,Biofuel Transportation,,,
Secondary Energy|Other Carrier,"Secondary Energy|Other Carrier represents other carrier within the broader context of secondary energy > other carrier in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: carrier, energy, energy demand, energy sector, energy use, other, other carrier, secondary, secondary energy",Cross-sector,0.4,"Other carrier within the cross-sector, which could be anything from hydrogen to ammonia.",Other,Unknown Energy Carrier,,,
Final Energy|Industry|Liquids|Bioenergy,"Final Energy|Industry|Liquids|Bioenergy represents bioenergy within the broader context of final energy > industry > liquids > bioenergy in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: bioenergy, energy, energy demand, energy sector, energy use, final, final energy, industry, liquids",Industry,0.9,Bioenergy production within the industry sector.,Manufacturing,Bioenergy Production,,,
Final Energy|Industry|Liquids|Fossil,"Final Energy|Industry|Liquids|Fossil represents fossil within the broader context of final energy > industry > liquids > fossil in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, final, final energy, fossil, industry, liquids",Industry,0.9,Fossil fuel production within the industry sector.,Manufacturing,Fossil Fuel Production,,,
Investment|Energy Supply|Electricity|Ocean,"Investment|Energy Supply|Electricity|Ocean represents ocean within the broader context of investment > energy supply > electricity > ocean in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy supply, energy use, investment, ocean, supply",Electricity,0.8,Offshore wind energy production for power generation.,Power Generation,Offshore Wind,,,
Lifetime|Electricity|Biomass|w/ CCS,"Lifetime|Electricity|Biomass|w/ CCS represents w/ ccs within the broader context of lifetime > electricity > biomass > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, lifetime, w, w/ ccs",Electricity,0.9,Biomass power generation with carbon capture and storage.,Power Generation,Biomass with CCS,,,
Lifetime|Electricity|Biomass|w/o CCS,"Lifetime|Electricity|Biomass|w/o CCS represents w/o ccs within the broader context of lifetime > electricity > biomass > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: biomass, ccs, electricity, lifetime, o, w, w/o ccs",Electricity,0.8,Biomass power generation without carbon capture and storage.,Power Generation,Biomass without CCS,,,
Lifetime|Electricity|Coal|w/ CCS,"Lifetime|Electricity|Coal|w/ CCS represents w/ ccs within the broader context of lifetime > electricity > coal > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, lifetime, w, w/ ccs",Electricity,0.9,Coal power generation with carbon capture and storage.,Power Generation,Coal with CCS,,,
Lifetime|Electricity|Coal|w/o CCS,"Lifetime|Electricity|Coal|w/o CCS represents w/o ccs within the broader context of lifetime > electricity > coal > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, coal, electricity, lifetime, o, w, w/o ccs",Electricity,0.8,Coal power generation without carbon capture and storage.,Power Generation,Coal without CCS,,,
Lifetime|Electricity|Gas|w/ CCS,"Lifetime|Electricity|Gas|w/ CCS represents w/ ccs within the broader context of lifetime > electricity > gas > w/ ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, gas, lifetime, w, w/ ccs",Electricity,0.8,Gas power generation with carbon capture and storage.,Power Generation,Gas with CCS,,,
Lifetime|Electricity|Gas|w/o CCS,"Lifetime|Electricity|Gas|w/o CCS represents w/o ccs within the broader context of lifetime > electricity > gas > w/o ccs in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: ccs, electricity, gas, lifetime, o, w, w/o ccs",Electricity,0.7,Gas power generation without carbon capture and storage.,Power Generation,Gas without CCS,,,
Lifetime|Electricity|Solar|CSP,"Lifetime|Electricity|Solar|CSP represents csp within the broader context of lifetime > electricity > solar > csp in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: csp, electricity, lifetime, solar",Electricity,0.9,Concentrated solar power generation.,Power Generation,Concentrated Solar Power,,,
Lifetime|Electricity|Wind,"Lifetime|Electricity|Wind represents wind within the broader context of lifetime > electricity > wind in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, lifetime, wind",Electricity,0.9,Wind power generation.,Power Generation,Wind Power,,,
Secondary Energy|Electricity|Ocean,"Secondary Energy|Electricity|Ocean represents ocean within the broader context of secondary energy > electricity > ocean in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: electricity, energy, energy demand, energy sector, energy use, ocean, secondary, secondary energy",Electricity,0.8,Offshore wind energy production for power generation.,Power Generation,Offshore Wind,,,
Secondary Energy|Heat|Solar,"Secondary Energy|Heat|Solar represents solar within the broader context of secondary energy > heat > solar in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, heat, secondary, secondary energy, solar",Energy Services,0.7,Solar heat production.,Other,Solar Heat,,,
Secondary Energy|Hydrogen|Nuclear,"Secondary Energy|Hydrogen|Nuclear represents nuclear within the broader context of secondary energy > hydrogen > nuclear in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, hydrogen, nuclear, secondary, secondary energy",Energy Services,0.8,Nuclear-powered hydrogen production.,Other,Nuclear Hydrogen,,,
Secondary Energy|Liquids|Other,"Secondary Energy|Liquids|Other represents other within the broader context of secondary energy > liquids > other in climate and energy modeling. It captures how activity levels, resource use, and sectoral dynamics influence long-term transitions and scenario outcomes. Keywords: energy, energy demand, energy sector, energy use, liquids, other, secondary, secondary energy",Energy Services,0.4,Other liquid energy carrier within the energy services sector.,Other,Other Liquid Energy Carrier,,,
